,,,,,,
,SKU,,,Product Name,,
,IDEX Wide Assembly - 300x300x300,,,IDEX Wide Assembly - 300x300x300,,
,,,,13/10/2022 11:53,,
,B.O.M.,,,,,
QTY,SKU,Length (mm),Tap,Item Name
1,HW306BRC,420,,T-Slot 3030 - Black - 420mm
2,HW306BRC,428,,T-Slot 3030 - Black - 428mm
4,HW306BRC,450,,T-Slot 3030 - Black - 450mm
4,HW306BRC,505,,T-Slot 3030 - Black - 505mm
4,HW306BRC,510,,T-Slot 3030 - Black - 510mm
1,HW306BRC,540,,T-Slot 3030 - Black - 540mm
5,HW306BRC,580,,T-Slot 3030 - Black - 580mm
1,HW201BRC,562,,V-Slot 2020 - Black - 562mm
2,,,,3060 90 Degree Corner
19,HW1018NC,,,Aluminium Spacer - 6mm
2,HW1019NC,,,Aluminium Spacer - 9mm
18,HW2948WC,,,Ball Bearing - 695ZZ
3,HW1309WC,,,Ball Bearing - F688ZZ
36,HW2947WC,,,Ball Bearing - F695ZZ
1,HW2198PC,,,Bed Plate - Cast tooling plate - Pre-Machined - 329*329*6mm
22,HW1502SC,,,Cap Head Screw M3x8
112,HW1292SC,,,Cap Head Screw M3x12
20,HW1866SC,,,Cap Head Screw M3x18
8,HW1504SC,,,Cap Head Screw M3x20
10,HW1868SC,,,Cap Head Screw M3x35
4,HW1869SC,,,Cap Head Screw M3x40
2,HW0000SC,,,Cap Head Screw M4x40
4,HW1285SC,,,Cap Head Screw M5x10
6,HW2110SC,,,Cap Head Screw M5x18
2,HW1060SC,,,Cap Head Screw M5x35
2,HW2138SC,,,Cap Head Screw M5x40
4,HW2140SC,,,Cap Head Screw M5x55
2,HW2957SC,,,Cap Head Screw M5x65
1,HW2958SC,,,Cap Head Screw M5x70
1,HW2958SC,,,Cap Head Screw M5x70
157,HW1836SC,,,Cap Head Screw M6x12
4,HW2827SC,,,Cap Head Screw M6x16
9,HW1870SC,,,Cap Head Screw M6x20
18,HW1916BC,,,Cast 90 Degree Corner Bracket for 3030 - 6 Slot - Black
6,HW1874SC,,,Countersink Screw M3x12
3,HW2349SC,,,Countersink Screw M5x16
12,HW2173SC,,,Countersink Screw M6x14
3,HW2990GC,,,Coupler - Rigid Type - Black 25x20mm - 5mm to 8mm
6,HW2126GC,,,Dowel Pin - 3x35mm
1,HW1895GC,,,FlexPlate Set - Powder coated PEI 310x310mm
20,HW1251NC,,,Hex Locking Nut - M3
2,HW1374NC,,,Hex Locking Nut - M4
12,HW1039NC,,,Hex Locking Nut - M5
2,HW2201PC,,,idler_plate_v1.0
20,HW1915PC,,,Joining Plate for 3030 - 90 Degree - Black Anodized
1,HW2346EK,,,Keenovo 280x280 600W Silicone Heater Pad
3,HW2191SC,,,Lead Screw - TR8*4 Metric Acme Lead Screw - 380mm
3,HW2915GC,,,Leadscrew Nut - POM - TR8*4
2,HW2353GC,350,,Linear Rail - MGN12 350mm + MGN12C carriage
3,HW2036GC,400,,Linear Rail - MGN12 400mm + MGN12C carriage
1,HW2034GC,500,,Linear Rail - MGN12 500mm + MGN12C carriage
3,HW2127GC,,,Magnet - 20x10x5mm - Two hole (M3 Countersink screws)
38,HW1630NC,,,Mini Precision Shim - 8x5x1mm
7,HW1078EC,,,"Nema 17 Stepper Motor - 48mm - 1.8degree/step, 76oz-in"
3,HW2950WC,,,Rat Rig Bi-Material Lead Screw Decoupler
4,HW2125GC,,,Rubber foot with metal insert - Heavy Duty - 28x22x16.5mm
3,HW2128GC,,,Steel Ball - 12mm - Threaded M5
96,HW1821NC,,,T-Nut - Drop In for 3030 - M3
4,HW1383NC,,,T-Nut - Drop In for 3030 - M5
182,HW1361NC,,,T-Nut - Drop In for 3030 - M6
6,HW1522NC,,,T-Nut - Square type for 2020 - M5
3,HW2118WC,,,Thrust Bearing F8-16M
4,HW1654WC,,,Timing Pulley - 2GT (2mm) - 20 Tooth - For 9mm Belt - 5mm Bore
2,,,,vc3_idex_motor_plate
2,HW2949PC,,,VC3-XY_Joiner_Plate_v1.1
36,HW1314NC,,,Washer Simple M6